name,cases,year
AFG,530,2021
ALB,100,2021
DZA,500,2021
AND,-1,2021
AGO,15000,2021
ATG,-1,2021
ARG,1300,2021
ARM,-1,2021
AUS,100,2021
AUT,-1,2021
AZE,200,2021
BHS,100,2021
BHR,100,2021
BGD,500,2021
BRB,100,2021
BLR,200,2021
BEL,-1,2021
BLZ,200,2021
BEN,1600,2021
BTN,100,2021
BOL,500,2021
BIH,-1,2021
BWA,4600,2021
BRA,13000,2021
BRN,-1,2021
BGR,100,2021
BFA,2000,2021
BDI,1400,2021
CPV,100,2021
KHM,1100,2021
CMR,13000,2021
CAN,-1,2021
CAF,2600,2021
TCD,2700,2021
CHL,-1,2021
CHN,-1,2021
COL,1700,2021
COM,100,2021
COG,7400,2021
COK,-1,2021
CRI,200,2021
CIV,8800,2021
HRV,100,2021
CUB,500,2021
CYP,100,2021
CZE,-1,2021
PRK,-1,2021
COD,14000,2021
DNK,100,2021
DJI,500,2021
DMA,-1,2021
DOM,2300,2021
ECU,500,2021
EGY,560,2021
SLV,600,2021
GNQ,2300,2021
ERI,500,2021
EST,-1,2021
SWZ,2600,2021
ETH,12000,2021
FJI,100,2021
FIN,-1,2021
FRA,720,2021
GAB,2000,2021
GMB,1300,2021
GEO,100,2021
DEU,-1,2021
GHA,9900,2021
GRC,100,2021
GRD,-1,2021
GTM,730,2021
GIN,3900,2021
GNB,1700,2021
GUY,200,2021
HTI,1500,2021
HND,770,2021
HUN,-1,2021
ISL,100,2021
IND,42000,2021
IDN,26000,2021
IRN,3500,2021
IRQ,-1,2021
IRL,100,2021
ISR,-1,2021
ITA,500,2021
JAM,770,2021
JPN,-1,2021
JOR,-1,2021
KAZ,200,2021
KEN,22000,2021
KIR,-1,2021
KWT,-1,2021
KGZ,500,2021
LAO,500,2021
LVA,100,2021
LBN,100,2021
LSO,4500,2021
LBR,1100,2021
LBY,200,2021
LTU,100,2021
LUX,100,2021
MDG,2900,2021
MWI,13000,2021
MYS,1600,2021
MDV,-1,2021
MLI,4100,2021
MLT,-1,2021
MHL,-1,2021
MRT,500,2021
MUS,-1,2021
MEX,4600,2021
FSM,-1,2021
MCO,-1,2021
MNG,100,2021
MNE,100,2021
MAR,500,2021
MOZ,-1,2021
MMR,6600,2021
NAM,2900,2021
NRU,-1,2021
NPL,510,2021
NLD,100,2021
NZL,100,2021
NIC,500,2021
NER,910,2021
NGA,51000,2021
NIU,-1,2021
MKD,-1,2021
NOR,100,2021
OMN,100,2021
PAK,9600,2021
PLW,-1,2021
PAN,-1,2021
PNG,530,2021
PRY,500,2021
PER,940,2021
PHL,1200,2021
POL,-1,2021
PRT,500,2021
QAT,100,2021
KOR,-1,2021
MDA,500,2021
ROU,500,2021
RUS,-1,2021
RWA,2400,2021
KNA,-1,2021
LCA,-1,2021
VCT,-1,2021
WSM,-1,2021
SMR,-1,2021
STP,-1,2021
SAU,-1,2021
SEN,1000,2021
SRB,100,2021
SYC,-1,2021
SLE,3000,2021
SGP,100,2021
SVK,100,2021
SVN,-1,2021
SLB,-1,2021
SOM,500,2021
ZAF,51000,2021
SDS,8000,2021
ESP,840,2021
LKA,100,2021
SDN,1900,2021
SUR,-1,2021
SWE,-1,2021
CHE,200,2021
SYR,100,2021
TJK,200,2021
THA,9300,2021
GBR,-1,2021
TLS,100,2021
TGO,2600,2021
TON,-1,2021
TTO,500,2021
TUN,500,2021
TUR,-1,2021
TKM,-1,2021
TUV,-1,2021
UGA,17000,2021
UKR,2800,2021
ARE,-1,2021
TZA,29000,2021
USA,-1,2021
URY,500,2021
UZB,680,2021
VUT,-1,2021
VEN,2300,2021
VNM,3500,2021
YEM,500,2021
ZMB,19000,2021
ZWE,20000,2021
AFG,500,2020
ALB,100,2020
DZA,500,2020
AND,-1,2020
AGO,16000,2020
ATG,-1,2020
ARG,1400,2020
ARM,-1,2020
AUS,100,2020
AUT,-1,2020
AZE,200,2020
BHS,100,2020
BHR,100,2020
BGD,500,2020
BRB,100,2020
BLR,200,2020
BEL,-1,2020
BLZ,200,2020
BEN,1800,2020
BTN,100,2020
BOL,500,2020
BIH,-1,2020
BWA,4800,2020
BRA,13000,2020
BRN,-1,2020
BGR,100,2020
BFA,2400,2020
BDI,1500,2020
CPV,100,2020
KHM,1200,2020
CMR,14000,2020
CAN,-1,2020
CAF,3000,2020
TCD,3100,2020
CHL,-1,2020
CHN,-1,2020
COL,2300,2020
COM,100,2020
COG,7100,2020
COK,-1,2020
CRI,200,2020
CIV,10000,2020
HRV,100,2020
CUB,500,2020
CYP,100,2020
CZE,-1,2020
PRK,-1,2020
COD,16000,2020
DNK,100,2020
DJI,500,2020
DMA,-1,2020
DOM,2500,2020
ECU,500,2020
EGY,530,2020
SLV,640,2020
GNQ,2300,2020
ERI,500,2020
EST,-1,2020
SWZ,2800,2020
ETH,13000,2020
FJI,100,2020
FIN,-1,2020
FRA,710,2020
GAB,1900,2020
GMB,1200,2020
GEO,100,2020
DEU,500,2020
GHA,13000,2020
GRC,100,2020
GRD,-1,2020
GTM,750,2020
GIN,4000,2020
GNB,1700,2020
GUY,200,2020
HTI,1900,2020
HND,730,2020
HUN,-1,2020
ISL,100,2020
IND,39000,2020
IDN,26000,2020
IRN,3500,2020
IRQ,-1,2020
IRL,100,2020
ISR,-1,2020
ITA,500,2020
JAM,640,2020
JPN,-1,2020
JOR,-1,2020
KAZ,200,2020
KEN,22000,2020
KIR,-1,2020
KWT,-1,2020
KGZ,500,2020
LAO,500,2020
LVA,100,2020
LBN,100,2020
LSO,5300,2020
LBR,1300,2020
LBY,100,2020
LTU,100,2020
LUX,100,2020
MDG,2500,2020
MWI,13000,2020
MYS,1600,2020
MDV,-1,2020
MLI,4700,2020
MLT,-1,2020
MHL,-1,2020
MRT,510,2020
MUS,-1,2020
MEX,5100,2020
FSM,-1,2020
MCO,-1,2020
MNG,100,2020
MNE,100,2020
MAR,500,2020
MOZ,-1,2020
MMR,7200,2020
NAM,3200,2020
NRU,-1,2020
NPL,590,2020
NLD,100,2020
NZL,100,2020
NIC,500,2020
NER,970,2020
NGA,56000,2020
NIU,-1,2020
MKD,-1,2020
NOR,100,2020
OMN,100,2020
PAK,8400,2020
PLW,-1,2020
PAN,-1,2020
PNG,500,2020
PRY,500,2020
PER,960,2020
PHL,1000,2020
POL,-1,2020
PRT,500,2020
QAT,100,2020
KOR,-1,2020
MDA,500,2020
ROU,500,2020
RUS,-1,2020
RWA,2700,2020
KNA,-1,2020
LCA,-1,2020
VCT,-1,2020
WSM,-1,2020
SMR,-1,2020
STP,-1,2020
SAU,-1,2020
SEN,1200,2020
SRB,100,2020
SYC,-1,2020
SLE,3200,2020
SGP,100,2020
SVK,100,2020
SVN,-1,2020
SLB,-1,2020
SOM,500,2020
ZAF,55000,2020
SDS,8200,2020
ESP,820,2020
LKA,100,2020
SDN,1900,2020
SUR,-1,2020
SWE,-1,2020
CHE,200,2020
SYR,100,2020
TJK,200,2020
THA,11000,2020
GBR,-1,2020
TLS,100,2020
TGO,2900,2020
TON,-1,2020
TTO,500,2020
TUN,500,2020
TUR,-1,2020
TKM,-1,2020
TUV,-1,2020
UGA,18000,2020
UKR,3000,2020
ARE,-1,2020
TZA,33000,2020
USA,-1,2020
URY,500,2020
UZB,720,2020
VUT,-1,2020
VEN,3900,2020
VNM,3700,2020
YEM,500,2020
ZMB,21000,2020
ZWE,22000,2020
AFG,500,2019
ALB,100,2019
DZA,500,2019
AND,-1,2019
AGO,16000,2019
ATG,-1,2019
ARG,1400,2019
ARM,-1,2019
AUS,100,2019
AUT,-1,2019
AZE,500,2019
BHS,100,2019
BHR,100,2019
BGD,500,2019
BRB,100,2019
BLR,200,2019
BEL,-1,2019
BLZ,200,2019
BEN,2200,2019
BTN,100,2019
BOL,510,2019
BIH,-1,2019
BWA,5100,2019
BRA,14000,2019
BRN,-1,2019
BGR,100,2019
BFA,2600,2019
BDI,1700,2019
CPV,100,2019
KHM,1400,2019
CMR,16000,2019
CAN,-1,2019
CAF,3600,2019
TCD,3500,2019
CHL,-1,2019
CHN,-1,2019
COL,2900,2019
COM,100,2019
COG,6800,2019
COK,-1,2019
CRI,200,2019
CIV,12000,2019
HRV,100,2019
CUB,500,2019
CYP,100,2019
CZE,-1,2019
PRK,-1,2019
COD,19000,2019
DNK,100,2019
DJI,500,2019
DMA,-1,2019
DOM,2700,2019
ECU,500,2019
EGY,500,2019
SLV,710,2019
GNQ,2200,2019
ERI,500,2019
EST,-1,2019
SWZ,2700,2019
ETH,14000,2019
FJI,100,2019
FIN,-1,2019
FRA,680,2019
GAB,1900,2019
GMB,1200,2019
GEO,100,2019
DEU,500,2019
GHA,16000,2019
GRC,100,2019
GRD,-1,2019
GTM,870,2019
GIN,4500,2019
GNB,1800,2019
GUY,200,2019
HTI,2200,2019
HND,740,2019
HUN,-1,2019
ISL,100,2019
IND,52000,2019
IDN,26000,2019
IRN,3700,2019
IRQ,-1,2019
IRL,100,2019
ISR,-1,2019
ITA,530,2019
JAM,710,2019
JPN,-1,2019
JOR,-1,2019
KAZ,200,2019
KEN,21000,2019
KIR,-1,2019
KWT,-1,2019
KGZ,500,2019
LAO,500,2019
LVA,100,2019
LBN,100,2019
LSO,5400,2019
LBR,1500,2019
LBY,200,2019
LTU,100,2019
LUX,100,2019
MDG,2300,2019
MWI,15000,2019
MYS,1600,2019
MDV,-1,2019
MLI,4600,2019
MLT,-1,2019
MHL,-1,2019
MRT,530,2019
