name,cases,year
AFG,0,1996
AFG,0,1997
AFG,0,1998
AFG,0,2002
AFG,0,2003
AFG,0,2004
AFG,0,1990
AFG,0,1991
AFG,0,1992
AFG,0,1993
AFG,0,1994
AFG,0,1995
AFG,0,1999
AFG,0,2000
AFG,0,2001
AFG,0,1989
AFG,0,2005
AFG,0,2006
BGD,0,2002
BGD,0,2003
BGD,0,2004
BGD,0,1990
BGD,0,1991
BGD,0,1992
BGD,0,1993
BGD,0,1994
BGD,0,1995
BGD,0,1996
BGD,0,1997
BGD,0,1998
BGD,0,1999
BGD,0,2000
BGD,0,2001
BGD,0,1989
BGD,0,2005
BGD,0,2006
BEN,181,2002
BEN,30,2003
BEN,3,2004
BEN,37414,1990
BEN,4006,1991
BEN,4315,1992
BEN,16334,1993
BEN,4302,1994
BEN,2273,1995
BEN,1427,1996
BEN,855,1997
BEN,695,1998
BEN,492,1999
BEN,186,2000
BEN,172,2001
BEN,7172,1989
BEN,1,2005
BEN,0,2006
BFA,591,2002
BFA,203,2003
BFA,60,2004
BFA,42187,1990
BFA,11784,1992
BFA,8281,1993
BFA,6861,1994
BFA,6281,1995
BFA,3241,1996
BFA,2477,1997
BFA,2227,1998
BFA,2184,1999
BFA,1956,2000
BFA,1032,2001
BFA,45004,1989
BFA,30,2005
BFA,5,2006
BDI,0,2002
BDI,0,2003
BDI,0,2004
BDI,0,1990
BDI,0,1991
BDI,0,1992
BDI,0,1993
BDI,0,1994
BDI,0,1995
BDI,0,1996
BDI,0,1997
BDI,0,1998
BDI,0,1999
BDI,0,2000
BDI,0,2001
BDI,0,1989
BDI,0,2005
BDI,0,2006
KHM,0,2002
KHM,0,2003
KHM,0,2004
KHM,0,1990
KHM,0,1991
KHM,0,1992
KHM,0,1993
KHM,0,1994
KHM,0,1995
KHM,0,1996
KHM,0,1997
KHM,0,1998
KHM,0,1999
KHM,0,2000
KHM,0,2001
KHM,0,1989
KHM,0,2005
KHM,0,2006
CAF,0,2002
CAF,0,2003
CAF,0,2004
CAF,18,1995
CAF,9,1996
CAF,5,1997
CAF,34,1998
CAF,26,1999
CAF,35,2000
CAF,36,2001
CAF,0,2005
CAF,0,2006
TCD,0,2002
TCD,0,2003
TCD,0,2004
TCD,156,1992
TCD,1231,1993
TCD,640,1994
TCD,149,1995
TCD,127,1996
TCD,25,1997
TCD,3,1998
TCD,1,1999
TCD,3,2000
TCD,0,2001
TCD,0,2005
TCD,0,2006
COM,0,2002
COM,0,2003
COM,0,2004
COM,0,1990
COM,0,1991
COM,0,1992
COM,0,1993
COM,0,1994
COM,0,1995
COM,0,1996
COM,0,1997
COM,0,1998
COM,0,1999
COM,0,2000
COM,0,2001
COM,0,1989
COM,0,2005
COM,0,2006
PRK,0,2002
PRK,0,2003
PRK,0,2004
PRK,0,1990
PRK,0,1991
PRK,0,1992
PRK,0,1993
PRK,0,1994
PRK,0,1995
PRK,0,1996
PRK,0,1997
PRK,0,1998
PRK,0,1999
PRK,0,2000
PRK,0,2001
PRK,0,1989
PRK,0,2005
PRK,0,2006
COD,0,2002
COD,0,2003
COD,0,2004
COD,0,1990
COD,0,1991
COD,0,1992
COD,0,1993
COD,0,1994
COD,0,1995
COD,0,1996
COD,0,1997
COD,0,1998
COD,0,1999
COD,0,2000
COD,0,2001
COD,0,1989
COD,0,2005
COD,0,2006
ETH,47,2002
ETH,28,2003
ETH,17,2004
ETH,2333,1990
ETH,303,1992
ETH,1120,1993
ETH,1252,1994
ETH,514,1995
ETH,371,1996
ETH,451,1997
ETH,366,1998
ETH,249,1999
ETH,60,2000
ETH,29,2001
ETH,3565,1989
ETH,37,2005
ETH,3,2006
GMB,0,2002
GMB,0,2003
GMB,0,2004
GMB,0,1990
GMB,0,1991
GMB,0,1992
GMB,0,1993
GMB,0,1994
GMB,0,1995
GMB,0,1996
GMB,0,1997
GMB,0,1998
GMB,0,1999
GMB,0,2000
GMB,0,2001
GMB,0,1989
GMB,0,2005
GMB,0,2006
GHA,5611,2002
GHA,8290,2003
GHA,7275,2004
GHA,123793,1990
GHA,66697,1991
GHA,33464,1992
GHA,17918,1993
GHA,8432,1994
GHA,8894,1995
GHA,4877,1996
GHA,8921,1997
GHA,5473,1998
GHA,9027,1999
GHA,7402,2000
GHA,4739,2001
GHA,179556,1989
GHA,3981,2005
GHA,4136,2006
GIN,0,2002
GIN,0,2003
GIN,0,2004
GIN,0,1990
GIN,0,1991
GIN,0,1992
GIN,0,1993
GIN,0,1994
GIN,0,1995
GIN,0,1996
GIN,0,1997
GIN,0,1998
