name,cases,year
ATG,0,2012
BLZ,0,2012
BWA,0,2012
BRN,0,2012
PRK,0,2012
DMA,0,2012
SLV,0,2012
FJI,0,2012
GMB,0,2012
GRD,0,2012
GTM,0,2012
HND,0,2012
IRQ,0,2012
JPN,0,2012
JOR,0,2012
LBY,0,2012
MDV,0,2012
MNG,0,2012
NRU,0,2012
NIC,0,2012
PLW,0,2012
QAT,0,2012
LCA,0,2012
VCT,0,2012
SGP,0,2012
TUN,0,2012
TUV,0,2012
URY,0,2012
AFG,1,2012
AUS,1,2012
KIR,1,2012
LBN,1,2012
MHL,1,2012
OMN,1,2012
KOR,1,2012
SAU,1,2012
SLB,1,2012
DOM,2,2012
FSM,2,2012
PAN,2,2012
STP,2,2012
SUR,2,2012
KWT,3,2012
PER,3,2012
BTN,4,2012
TLS,4,2012
ECU,5,2012
GUY,5,2012
IRN,6,2012
MAR,8,2012
ZAF,8,2012
MYS,9,2012
MLI,10,2012
PNG,11,2012
RWA,11,2012
GAB,12,2012
CUB,14,2012
MEX,15,2012
SOM,15,2012
LAO,16,2012
CAF,22,2012
SLE,24,2012
YEM,26,2012
COL,31,2012
CMR,32,2012
VEN,32,2012
ARG,35,2012
SEN,36,2012
THA,38,2012
PRY,40,2012
VNM,44,2012
KHM,46,2012
BEN,50,2012
NER,65,2012
BFA,67,2012
GIN,67,2012
UGA,67,2012
EGY,68,2012
PHL,86,2012
PAK,89,2012
NPL,111,2012
SDN,121,2012
MOZ,142,2012
LKA,148,2012
CIV,205,2012
ETH,261,2012
MDG,285,2012
TZA,299,2012
CHN,346,2012
SDS,360,2012
BGD,423,2012
MMR,503,2012
COD,518,2012
NGA,526,2012
IDN,2131,2012
BRA,2234,2012
IND,4650,2012
ALB,-1,2012
DZA,-1,2012
AND,-1,2012
AGO,-1,2012
ARM,-1,2012
AUT,-1,2012
AZE,-1,2012
BHS,-1,2012
BHR,-1,2012
BRB,-1,2012
BLR,-1,2012
BEL,-1,2012
BOL,-1,2012
BIH,-1,2012
BGR,-1,2012
BDI,-1,2012
CAN,-1,2012
CPV,-1,2012
TCD,-1,2012
CHL,-1,2012
COM,-1,2012
COG,-1,2012
COK,-1,2012
CRI,-1,2012
HRV,-1,2012
CYP,-1,2012
CZE,-1,2012
DNK,-1,2012
DJI,-1,2012
GNQ,-1,2012
ERI,-1,2012
EST,-1,2012
FIN,-1,2012
FRA,-1,2012
GEO,-1,2012
DEU,-1,2012
GHA,-1,2012
GRC,-1,2012
GNB,-1,2012
HTI,-1,2012
HUN,-1,2012
ISL,-1,2012
IRL,-1,2012
ISR,-1,2012
ITA,-1,2012
JAM,-1,2012
KAZ,-1,2012
KEN,-1,2012
KGZ,-1,2012
LVA,-1,2012
LSO,-1,2012
LBR,-1,2012
LTU,-1,2012
LUX,-1,2012
MWI,-1,2012
MLT,-1,2012
MRT,-1,2012
MUS,-1,2012
MCO,-1,2012
MNE,-1,2012
NAM,-1,2012
NLD,-1,2012
NZL,-1,2012
NIU,-1,2012
NOR,-1,2012
POL,-1,2012
PRT,-1,2012
MDA,-1,2012
ROU,-1,2012
RUS,-1,2012
KNA,-1,2012
WSM,-1,2012
SMR,-1,2012
SRB,-1,2012
SYC,-1,2012
SVK,-1,2012
SVN,-1,2012
ESP,-1,2012
SWZ,-1,2012
SWE,-1,2012
CHE,-1,2012
SYR,-1,2012
TJK,-1,2012
MKD,-1,2012
TGO,-1,2012
TON,-1,2012
TTO,-1,2012
TUR,-1,2012
TKM,-1,2012
UKR,-1,2012
ARE,-1,2012
GBR,-1,2012
USA,-1,2012
UZB,-1,2012
VUT,-1,2012
ZMB,-1,2012
ZWE,-1,2012
BLZ,0,2013
BRN,0,2013
CHL,0,2013
COK,0,2013
PRK,0,2013
SLV,0,2013
FJI,0,2013
GRD,0,2013
GTM,0,2013
HND,0,2013
IRQ,0,2013
JPN,0,2013
JOR,0,2013
MDV,0,2013
MHL,0,2013
MNG,0,2013
MAR,0,2013
NRU,0,2013
NZL,0,2013
NIU,0,2013
OMN,0,2013
PLW,0,2013
QAT,0,2013
SGP,0,2013
SLB,0,2013
SUR,0,2013
TUV,0,2013
ARE,0,2013
URY,0,2013
AUS,1,2013
GMB,1,2013
FSM,1,2013
LCA,1,2013
AFG,2,2013
KWT,2,2013
NIC,2,2013
PAN,2,2013
PER,2,2013
WSM,2,2013
SAU,2,2013
GUY,3,2013
KOR,3,2013
BTN,4,2013
KIR,7,2013
TLS,7,2013
CAF,8,2013
DOM,8,2013
MYS,8,2013
IRN,9,2013
MEX,9,2013
PNG,9,2013
COM,10,2013
CUB,13,2013
MLI,14,2013
COG,15,2013
KHM,17,2013
THA,18,2013
LAO,28,2013
YEM,28,2013
ARG,29,2013
CMR,34,2013
SEN,39,2013
TCD,41,2013
VNM,43,2013
BEN,44,2013
PRY,50,2013
COL,53,2013
GIN,54,2013
PAK,66,2013
PHL,72,2013
NER,75,2013
BFA,84,2013
NPL,88,2013
SDN,110,2013
SDS,120,2013
LKA,133,2013
CHN,188,2013
CIV,209,2013
TZA,252,2013
MDG,281,2013
BGD,341,2013
ETH,361,2013
MMR,423,2013
NGA,447,2013
COD,471,2013
IDN,1694,2013
BRA,1996,2013
IND,5256,2013
ALB,-1,2013
DZA,-1,2013
AND,-1,2013
AGO,-1,2013
ATG,-1,2013
ARM,-1,2013
AUT,-1,2013
AZE,-1,2013
BHS,-1,2013
BHR,-1,2013
BRB,-1,2013
BLR,-1,2013
BEL,-1,2013
BOL,-1,2013
BIH,-1,2013
BWA,-1,2013
BGR,-1,2013
BDI,-1,2013
CAN,-1,2013
CPV,-1,2013
CRI,-1,2013
HRV,-1,2013
CYP,-1,2013
CZE,-1,2013
DNK,-1,2013
DJI,-1,2013
DMA,-1,2013
ECU,-1,2013
EGY,-1,2013
GNQ,-1,2013
ERI,-1,2013
EST,-1,2013
FIN,-1,2013
FRA,-1,2013
GAB,-1,2013
GEO,-1,2013
DEU,-1,2013
GHA,-1,2013
GRC,-1,2013
GNB,-1,2013
HTI,-1,2013
HUN,-1,2013
ISL,-1,2013
IRL,-1,2013
ISR,-1,2013
ITA,-1,2013
