name,cases,year
AGO,23661,2000
BDI,12288,2000
BEN,7898,2000
BFA,41277,2000
BWA,49,2000
CAF,7379,2000
CMR,17144,2000
COD,100494,2000
COG,3034,2000
COM,89,2000
CPV,0,2000
DZA,2,2000
ERI,97,2000
ETH,16808,2000
GAB,359,2000
GHA,19388,2000
GIN,16396,2000
GMB,577,2000
GNB,2273,2000
GNQ,633,2000
KEN,11901,2000
LBR,6968,2000
MDG,2239,2000
MLI,25672,2000
MOZ,45482,2000
MRT,1094,2000
MWI,17225,2000
NAM,199,2000
NER,25663,2000
NGA,249308,2000
RWA,6191,2000
SEN,6336,2000
SLE,14506,2000
SSD,10974,2000
STP,254,2000
SWZ,2,2000
TCD,8459,2000
TGO,5462,2000
TZA,40887,2000
UGA,45764,2000
ZAF,424,2000
ZMB,13121,2000
ZWE,2707,2000
ARG,0,2000
BLZ,0,2000
BOL,24,2000
BRA,245,2000
COL,124,2000
CRI,0,2000
DOM,6,2000
ECU,66,2000
GTM,27,2000
GUY,50,2000
HND,23,2000
HTI,185,2000
MEX,0,2000
NIC,4,2000
PAN,1,2000
PER,96,2000
PRY,0,2000
SLV,0,2000
SUR,24,2000
VEN,26,2000
MAR,0,2000
AFG,965,2000
ARE,0,2000
DJI,4,2000
EGY,0,2000
IRN,4,2000
IRQ,0,2000
OMN,0,2000
PAK,995,2000
SAU,0,2000
SDN,6200,2000
SOM,2852,2000
SYR,0,2000
YEM,2640,2000
ARM,0,2000
AZE,0,2000
GEO,0,2000
KAZ,0,2000
KGZ,0,2000
TJK,0,2000
TKM,0,2000
TUR,0,2000
UZB,0,2000
BGD,199,2000
BTN,15,2000
IDN,1682,2000
IND,29512,2000
LKA,77,2000
MMR,2744,2000
NPL,25,2000
PRK,0,2000
THA,625,2000
TLS,241,2000
CHN,31,2000
KHM,1582,2000
KOR,0,2000
LAO,221,2000
MYS,35,2000
PHL,204,2000
PNG,3142,2000
SLB,476,2000
VNM,421,2000
VUT,34,2000
AGO,24478,2001
BDI,11335,2001
BEN,8455,2001
BFA,41824,2001
BWA,19,2001
CAF,7593,2001
CMR,17459,2001
COD,100192,2001
COG,2983,2001
COM,89,2001
CPV,0,2001
DZA,1,2001
ERI,130,2001
ETH,18031,2001
GAB,337,2001
GHA,18435,2001
GIN,15919,2001
GMB,527,2001
GNB,1717,2001
GNQ,644,2001
KEN,13668,2001
LBR,6644,2001
MDG,2747,2001
MLI,23927,2001
MOZ,45549,2001
MRT,1151,2001
MWI,16121,2001
NAM,263,2001
NER,25034,2001
NGA,242521,2001
RWA,6004,2001
SEN,6404,2001
SLE,15093,2001
SSD,10497,2001
STP,248,2001
SWZ,3,2001
TCD,9111,2001
TGO,5427,2001
TZA,38471,2001
UGA,51831,2001
ZAF,81,2001
ZMB,13075,2001
ZWE,2716,2001
ARG,0,2001
BLZ,0,2001
BOL,9,2001
BRA,142,2001
COL,168,2001
CRI,0,2001
DOM,17,2001
ECU,84,2001
GTM,18,2001
GUY,52,2001
HND,15,2001
HTI,188,2001
MEX,0,2001
NIC,2,2001
PAN,1,2001
PER,89,2001
PRY,0,2001
SLV,0,2001
SUR,23,2001
VEN,15,2001
MAR,0,2001
AFG,965,2001
ARE,0,2001
DJI,4,2001
EGY,0,2001
IRN,2,2001
IRQ,0,2001
OMN,0,2001
PAK,1144,2001
SAU,0,2001
SDN,5919,2001
SOM,2962,2001
SYR,0,2001
YEM,2947,2001
ARM,0,2001
AZE,0,2001
GEO,0,2001
KAZ,0,2001
KGZ,0,2001
TJK,0,2001
TKM,0,2001
TUR,0,2001
UZB,0,2001
BGD,202,2001
BTN,14,2001
IDN,1705,2001
IND,28679,2001
LKA,52,2001
MMR,2775,2001
NPL,28,2001
PRK,0,2001
THA,424,2001
TLS,245,2001
CHN,27,2001
KHM,904,2001
KOR,0,2001
LAO,152,2001
MYS,46,2001
PHL,143,2001
PNG,3075,2001
SLB,521,2001
VNM,380,2001
VUT,24,2001
AGO,22952,2002
BDI,9397,2002
BEN,8825,2002
BFA,40688,2002
BWA,9,2002
CAF,7872,2002
CMR,17775,2002
COD,101603,2002
COG,2749,2002
COM,89,2002
CPV,2,2002
