name,cases,year
AFG,14,2017
AFG,21,2018
AFG,29,2019
AFG,56,2020
AGO,0,2017
AGO,0,2018
AGO,0,2019
AGO,0,2020
ALB,0,2017
ALB,0,2018
ALB,0,2019
ALB,0,2020
ARE,0,2017
ARE,0,2018
ARE,0,2019
ARE,0,2020
ARG,0,2017
ARG,0,2018
ARG,0,2019
ARG,0,2020
ARM,0,2017
ARM,0,2018
ARM,0,2019
ARM,0,2020
ATG,0,2017
ATG,0,2018
ATG,0,2019
ATG,0,2020
AUS,0,2017
AUS,0,2018
AUS,0,2019
AUS,0,2020
AUT,0,2017
AUT,0,2018
AUT,0,2019
AUT,0,2020
AZE,0,2017
AZE,0,2018
AZE,0,2019
AZE,0,2020
BDI,0,2017
BDI,0,2018
BDI,0,2019
BDI,0,2020
BEL,0,2017
BEL,0,2018
BEL,0,2019
BEL,0,2020
BEN,0,2017
BEN,0,2018
BEN,0,2019
BEN,0,2020
BFA,0,2017
BFA,0,2018
BFA,0,2019
BFA,0,2020
BGD,0,2017
BGD,0,2018
BGD,0,2019
BGD,0,2020
BGR,0,2017
BGR,0,2018
BGR,0,2019
BGR,0,2020
BHR,0,2017
BHR,0,2018
BHR,0,2019
BHR,0,2020
BHS,0,2017
BHS,0,2018
BHS,0,2019
BHS,0,2020
BIH,0,2017
BIH,0,2018
BIH,0,2019
BIH,0,2020
BLR,0,2017
BLR,0,2018
BLR,0,2019
BLR,0,2020
BLZ,0,2017
BLZ,0,2018
BLZ,0,2019
BLZ,0,2020
BOL,0,2017
BOL,0,2018
BOL,0,2019
BOL,0,2020
BRA,0,2017
BRA,0,2018
BRA,0,2019
BRA,0,2020
BRB,0,2017
BRB,0,2018
BRB,0,2019
BRB,0,2020
BRN,0,2017
BRN,0,2018
BRN,0,2019
BRN,0,2020
BTN,0,2017
BTN,0,2018
BTN,0,2019
BTN,0,2020
BWA,0,2017
BWA,0,2018
BWA,0,2019
BWA,0,2020
CAF,0,2017
CAF,0,2018
CAF,0,2019
CAF,0,2020
CAN,0,2017
CAN,0,2018
CAN,0,2019
CAN,0,2020
CHE,0,2017
CHE,0,2018
CHE,0,2019
CHE,0,2020
CHL,0,2017
CHL,0,2018
CHL,0,2019
CHL,0,2020
CHN,0,2017
CHN,0,2018
CHN,0,2019
CHN,0,2020
CIV,0,2017
CIV,0,2018
CIV,0,2019
CIV,0,2020
CMR,0,2017
CMR,0,2018
CMR,0,2019
CMR,0,2020
COD,0,2017
COD,0,2018
COD,0,2019
COD,0,2020
COG,0,2017
COG,0,2018
COG,0,2019
COG,0,2020
COL,0,2017
COL,0,2018
COL,0,2019
COL,0,2020
COM,0,2017
COM,0,2018
COM,0,2019
COM,0,2020
CPV,0,2017
CPV,0,2018
CPV,0,2019
CPV,0,2020
CRI,0,2017
CRI,0,2018
CRI,0,2019
CRI,0,2020
CUB,0,2017
CUB,0,2018
CUB,0,2019
CUB,0,2020
CYP,0,2017
CYP,0,2018
CYP,0,2019
CYP,0,2020
CZE,0,2017
CZE,0,2018
CZE,0,2019
CZE,0,2020
DEU,0,2017
DEU,0,2018
DEU,0,2019
DEU,0,2020
DJI,0,2017
DJI,0,2018
DJI,0,2019
DJI,0,2020
DNK,0,2017
DNK,0,2018
DNK,0,2019
DNK,0,2020
DOM,0,2017
DOM,0,2018
DOM,0,2019
DOM,0,2020
DZA,0,2017
DZA,0,2018
DZA,0,2019
DZA,0,2020
ECU,0,2017
ECU,0,2018
ECU,0,2019
ECU,0,2020
EGY,0,2017
EGY,0,2018
EGY,0,2019
EGY,0,2020
ERI,0,2017
ERI,0,2018
ERI,0,2019
ERI,0,2020
ESP,0,2017
ESP,0,2018
ESP,0,2019
ESP,0,2020
EST,0,2017
EST,0,2018
EST,0,2019
EST,0,2020
ETH,0,2017
ETH,0,2018
ETH,0,2019
ETH,0,2020
FIN,0,2017
FIN,0,2018
FIN,0,2019
FIN,0,2020
FJI,0,2017
FJI,0,2018
FJI,0,2019
FJI,0,2020
FRA,0,2017
FRA,0,2018
FRA,0,2019
FRA,0,2020
FSM,0,2017
FSM,0,2018
FSM,0,2019
FSM,0,2020
GAB,0,2017
