name,cases,year
AND,0,2015
ARE,60,2015
AFG,13000,2015
ATG,1,2015
ALB,8,2015
ARM,68,2015
AGO,16000,2015
ARG,660,2015
AUT,65,2015
AUS,52,2015
AZE,580,2015
BIH,130,2015
BRB,2,2015
BGD,66000,2015
BEL,61,2015
BFA,1700,2015
BGR,120,2015
BHR,7,2015
BDI,2300,2015
BEN,1000,2015
BRN,19,2015
BOL,1300,2015
BRA,5300,2015
BHS,2,2015
BTN,130,2015
BWA,550,2015
BLR,460,2015
BLZ,8,2015
CAN,120,2015
COD,51000,2015
CAF,4000,2015
COG,2700,2015
CHE,17,2015
CIV,5300,2015
COK,0,2015
CHL,450,2015
CMR,6800,2015
CHN,39000,2015
COL,1100,2015
CRI,33,2015
CUB,49,2015
CPV,24,2015
CYP,2,2015
CZE,57,2015
DEU,320,2015
DJI,380,2015
DNK,17,2015
DMA,3,2015
DOM,400,2015
DZA,3200,2015
ECU,610,2015
EST,22,2015
EGY,420,2015
ERI,600,2015
ESP,250,2015
ETH,27000,2015
FIN,33,2015
FJI,36,2015
FSM,14,2015
FRA,470,2015
GAB,1400,2015
GBR,350,2015
GRD,2,2015
GEO,150,2015
GHA,11000,2015
GMB,480,2015
GIN,2900,2015
GNQ,500,2015
GRC,45,2015
GTM,380,2015
GNB,1400,2015
GUY,94,2015
HND,350,2015
HRV,46,2015
HTI,1100,2015
HUN,100,2015
IDN,97000,2015
IRL,17,2015
ISR,15,2015
IND,453000,2015
IRQ,1000,2015
IRN,870,2015
ISL,2,2015
ITA,340,2015
JAM,7,2015
JOR,8,2015
JPN,3000,2015
KEN,30000,2015
KGZ,460,2015
KHM,3200,2015
KIR,45,2015
COM,50,2015
KNA,1,2015
KOR,2600,2015
KWT,18,2015
KAZ,720,2015
LAO,3200,2015
LBN,60,2015
LCA,2,2015
LKA,740,2015
LBR,3200,2015
LSO,1100,2015
LTU,190,2015
LUX,1,2015
LVA,99,2015
LBY,680,2015
MAR,2800,2015
MCO,0,2015
MDA,250,2015
MNE,1,2015
MDG,12000,2015
MHL,16,2015
MKD,21,2015
MLI,1400,2015
MMR,30000,2015
MNG,330,2015
MRT,920,2015
MLT,2,2015
MUS,16,2015
MDV,7,2015
MWI,3700,2015
MEX,2200,2015
MYS,1500,2015
MOZ,9000,2015
NAM,1500,2015
NER,3900,2015
NGA,114000,2015
NIC,180,2015
NLD,37,2015
NOR,12,2015
NPL,18000,2015
NRU,1,2015
NIU,0,2015
NZL,21,2015
OMN,18,2015
PAN,230,2015
PER,2400,2015
PNG,4600,2015
PHL,27000,2015
PAK,48000,2015
POL,580,2015
PRT,220,2015
PLW,1,2015
PRY,240,2015
QAT,7,2015
ROU,1100,2015
SRB,75,2015
RUS,14000,2015
RWA,570,2015
SAU,870,2015
SLB,58,2015
SYC,1,2015
SDN,6800,2015
SWE,25,2015
SGP,48,2015
SVN,11,2015
SVK,35,2015
SLE,4100,2015
SMR,0,2015
SEN,2200,2015
SOM,10000,2015
SUR,13,2015
SDS,6100,2015
STP,55,2015
SLV,62,2015
SYR,26,2015
SWZ,390,2015
TCD,3300,2015
TGO,480,2015
THA,9900,2015
TJK,770,2015
TLS,1200,2015
TKM,570,2015
TUN,150,2015
TON,1,2015
TUR,550,2015
TTO,21,2015
TUV,2,2015
TZA,29000,2015
UKR,5000,2015
UGA,9300,2015
USA,510,2015
URY,90,2015
UZB,2000,2015
VCT,1,2015
VEN,670,2015
VNM,14000,2015
VUT,19,2015
WSM,2,2015
YEM,2600,2015
ZAF,20000,2015
ZMB,4900,2015
ZWE,1100,2015
AND,0,2016
ARE,61,2016
AFG,12000,2016
ATG,1,2016
ALB,8,2016
ARM,56,2016
AGO,17000,2016
ARG,690,2016
AUT,39,2016
AUS,50,2016
AZE,590,2016
BIH,120,2016
BRB,2,2016
BGD,62000,2016
BEL,32,2016
BFA,1700,2016
BGR,120,2016
BHR,7,2016
BDI,2100,2016
BEN,1100,2016
BRN,19,2016
BOL,1300,2016
BRA,5100,2016
BHS,2,2016
BTN,160,2016
BWA,370,2016
BLR,400,2016
BLZ,7,2016
CAN,100,2016
COD,50000,2016
CAF,4800,2016
COG,2700,2016
CHE,25,2016
CIV,5700,2016
COK,0,2016
CHL,410,2016
CMR,6900,2016
CHN,39000,2016
COL,1100,2016
CRI,33,2016
CUB,42,2016
CPV,24,2016
CYP,3,2016
CZE,43,2016
DEU,300,2016
DJI,360,2016
DNK,23,2016
DMA,3,2016
DOM,350,2016
DZA,3100,2016
ECU,580,2016
EST,28,2016
EGY,430,2016
ERI,640,2016
ESP,260,2016
ETH,27000,2016
FIN,26,2016
FJI,37,2016
FSM,20,2016
FRA,440,2016
GAB,1500,2016
GBR,310,2016
GRD,2,2016
GEO,170,2016
GHA,11000,2016
GMB,500,2016
GIN,2900,2016
GNQ,550,2016
GRC,48,2016
GTM,380,2016
GNB,1300,2016
GUY,95,2016
HND,390,2016
HRV,58,2016
HTI,1000,2016
HUN,64,2016
IDN,96000,2016
IRL,17,2016
ISR,15,2016
IND,451000,2016
IRQ,980,2016
IRN,800,2016
ISL,2,2016
ITA,310,2016
JAM,7,2016
JOR,9,2016
JPN,3000,2016
KEN,29000,2016
KGZ,420,2016
KHM,3100,2016
KIR,45,2016
COM,50,2016
KNA,1,2016
KOR,2600,2016
KWT,19,2016
KAZ,610,2016
LAO,3000,2016
LBN,56,2016
LCA,2,2016
LKA,740,2016
LBR,2800,2016
LSO,1000,2016
LTU,180,2016
LUX,1,2016
LVA,80,2016
LBY,630,2016
MAR,2900,2016
MCO,0,2016
MDA,220,2016
MNE,1,2016
MDG,13000,2016
MHL,21,2016
MKD,25,2016
MLI,1400,2016
MMR,27000,2016
MNG,330,2016
MRT,820,2016
MLT,3,2016
MUS,19,2016
MDV,13,2016
MWI,3300,2016
MEX,2200,2016
MYS,1500,2016
MOZ,8000,2016
NAM,1600,2016
NER,4100,2016
NGA,117000,2016
NIC,170,2016
NLD,30,2016
NOR,18,2016
NPL,18000,2016
NRU,1,2016
NIU,0,2016
NZL,12,2016
OMN,18,2016
PAN,180,2016
PER,2900,2016
PNG,4500,2016
PHL,28000,2016
PAK,47000,2016
POL,600,2016
PRT,210,2016
PLW,2,2016
PRY,270,2016
QAT,8,2016
ROU,990,2016
SRB,86,2016
RUS,12000,2016
RWA,640,2016
SAU,870,2016
SLB,56,2016
SYC,0,2016
SDN,5600,2016
SWE,26,2016
SGP,48,2016
SVN,7,2016
SVK,25,2016
SLE,3400,2016
SMR,0,2016
SEN,2500,2016
SOM,11000,2016
SUR,13,2016
SDS,5600,2016
STP,54,2016
SLV,67,2016
SYR,25,2016
SWZ,350,2016
TCD,3700,2016
